idAcao,ticker,vencimento,diasUteis,tipo,strike,premioPct,volImplicita,delta,gamma,theta,vega,dataHora
PETR4,PETRK289W1,2025-11-07,17,CALL,28.9,2.79,2.92,0.8338,0.0874,-0.028,2.4353,03/10/2025
PETR4,PETRW289W1,2025-11-07,17,PUT,28.9,0.34,2.93,0.2251,0.1267,-0.0155,2.4246,14/10/2025
PETR4,PETRW289W2,2025-11-14,22,PUT,28.9,0.36,2.71,0.2339,0.1213,-0.0117,2.8537,13/10/2025
PETR4,PETRW289W4,2025-11-28,31,PUT,28.9,0.44,2.66,0.2436,0.1078,-0.0092,3.4204,13/10/2025
PETR4,PETRK294,2025-11-21,26,CALL,28.97,1.83,2.54,0.7223,0.1379,-0.0275,3.2125,14/10/2025
PETR4,PETRW294,2025-11-21,26,PUT,28.97,0.43,2.59,0.28,0.1355,-0.0108,3.2263,14/10/2025
PETR4,PETRL296,2025-12-19,46,CALL,29.0,2.5,2.48,0.7429,0.101,-0.0231,4.1429,14/10/2025
PETR4,PETRX296,2025-12-19,46,PUT,29.0,0.61,2.57,0.2862,0.1039,-0.0067,4.3369,14/10/2025
PETR4,PETRK297,2025-11-21,26,CALL,29.22,1.7,2.48,0.6909,0.1485,-0.0274,3.3773,14/10/2025
PETR4,PETRW297,2025-11-21,26,PUT,29.22,0.49,2.56,0.3123,0.1444,-0.0108,3.3933,14/10/2025
PETR4,PETRL306,2025-12-19,46,CALL,29.25,2.19,2.49,0.7096,0.1061,-0.0231,4.4394,14/10/2025
PETR4,PETRX306,2025-12-19,46,PUT,29.25,0.65,2.54,0.3119,0.1092,-0.0065,4.5099,14/10/2025
PETR4,PETRW300W1,2025-11-07,17,PUT,29.4,0.45,2.78,0.2742,0.1478,-0.0157,2.7007,14/10/2025
PETR4,PETRW294W2,2025-11-14,22,PUT,29.4,0.49,2.56,0.3137,0.1527,-0.012,3.2161,14/10/2025
PETR4,PETRK294W4,2025-11-28,31,CALL,29.4,3.25,1.88,0.9167,0.0621,-0.0198,2.0141,29/09/2025
PETR4,PETRW294W4,2025-11-28,31,PUT,29.4,0.53,2.61,0.2872,0.1212,-0.0095,3.674,14/10/2025
PETR4,PETRK307,2025-11-21,26,CALL,29.47,1.52,2.43,0.6544,0.1584,-0.0273,3.5335,14/10/2025
PETR4,PETRW307,2025-11-21,26,PUT,29.47,0.55,2.5,0.3503,0.1549,-0.0105,3.5501,14/10/2025
PETR4,PETRL301,2025-12-19,46,CALL,29.5,2.03,2.42,0.6921,0.1132,-0.0231,4.5191,14/10/2025
PETR4,PETRX301,2025-12-19,46,PUT,29.5,0.73,2.5,0.3383,0.1147,-0.0062,4.6626,14/10/2025
PETR4,PETRK311,2025-11-21,26,CALL,29.72,1.34,2.37,0.6175,0.1681,-0.0269,3.658,14/10/2025
PETR4,PETRW311,2025-11-21,26,PUT,29.72,0.65,2.46,0.3872,0.1626,-0.0101,3.6699,14/10/2025
PETR4,PETRL319,2025-12-19,46,CALL,29.75,2.17,2.28,0.6887,0.1187,-0.0224,4.6128,13/10/2025
PETR4,PETRX319,2025-12-19,46,PUT,29.75,0.83,2.48,0.3669,0.1192,-0.0059,4.8004,14/10/2025
PETR4,PETRK305W1,2025-11-07,17,CALL,29.9,1.15,2.26,0.6695,0.1979,-0.0298,2.9363,14/10/2025
PETR4,PETRW305W1,2025-11-07,17,PUT,29.9,0.55,2.44,0.1052,0.0655,-0.006,2.0784,14/10/2025
PETR4,PETRK299W2,2025-11-14,22,CALL,29.9,1.09,2.4,0.5926,0.1787,-0.0282,3.5086,14/10/2025
PETR4,PETRW299W2,2025-11-14,22,PUT,29.9,0.68,2.47,0.4057,0.1734,-0.0112,3.5073,14/10/2025
PETR4,PETRK299W4,2025-11-28,31,CALL,29.9,1.5,2.35,0.6489,0.1441,-0.0252,4.0498,13/10/2025
PETR4,PETRW299W4,2025-11-28,31,PUT,29.9,0.49,2.37,0.2728,0.1191,-0.0072,3.9185,07/10/2025
PETR4,PETRX299W1,2025-12-05,36,PUT,29.9,0.79,2.51,0.3738,0.131,-0.0077,4.3588,14/10/2025
PETR4,PETRL299W2,2025-12-12,41,CALL,29.9,1.69,2.47,0.6298,0.1221,-0.0235,4.7309,10/10/2025
PETR4,PETRX299W2,2025-12-12,41,PUT,29.9,0.76,2.56,0.341,0.1162,-0.0072,4.5331,14/10/2025
PETR4,PETRL299W4,2025-12-26,49,CALL,29.9,1.85,2.47,0.6344,0.1118,-0.0224,5.1149,10/10/2025
PETR4,PETRX299W4,2025-12-26,49,PUT,29.9,0.9,2.66,0.3469,0.102,-0.0063,5.014,13/10/2025
PETR4,PETRK304,2025-11-21,26,CALL,29.97,1.19,2.37,0.5714,0.1729,-0.0267,3.7612,14/10/2025
PETR4,PETRW304,2025-11-21,26,PUT,29.97,0.72,2.42,0.4278,0.169,-0.0095,3.761,14/10/2025
PETR4,PETRL30,2025-12-19,46,CALL,30.0,1.66,2.45,0.6023,0.1234,-0.0229,4.9162,14/10/2025
PETR4,PETRX30,2025-12-19,46,PUT,30.0,0.92,2.45,0.3964,0.1233,-0.0055,4.9136,14/10/2025
PETR4,PETRK308,2025-11-21,26,CALL,30.22,1.04,2.34,0.5282,0.1776,-0.026,3.813,14/10/2025
PETR4,PETRW308,2025-11-21,26,PUT,30.22,0.82,2.39,0.4701,0.1738,-0.0086,3.813,14/10/2025
PETR4,PETRL307,2025-12-19,46,CALL,30.25,1.5,2.33,0.6045,0.1289,-0.0224,4.9483,14/10/2025
PETR4,PETRX307,2025-12-19,46,PUT,30.25,1.01,2.42,0.4281,0.1271,-0.005,5.0016,14/10/2025
PETR4,PETRK310W1,2025-11-07,17,CALL,30.4,0.78,2.46,0.5099,0.2019,-0.0305,3.2041,14/10/2025
PETR4,PETRW310W1,2025-11-07,17,PUT,30.4,0.77,2.7,0.5024,0.1753,-0.0132,3.3649,14/10/2025
PETR4,PETRK304W2,2025-11-14,22,CALL,30.4,0.96,2.33,0.5495,0.1828,-0.0272,3.6845,13/10/2025
PETR4,PETRW304W2,2025-11-14,22,PUT,30.4,0.83,2.45,0.4649,0.1787,-0.0104,3.6138,14/10/2025
PETR4,PETRK304W4,2025-11-28,31,CALL,30.4,0.9,1.74,0.5718,0.2075,-0.021,4.2735,13/10/2025
PETR4,PETRL304W1,2025-12-05,36,CALL,30.4,0.72,1.01,0.6536,0.3126,-0.017,4.3217,13/10/2025
PETR4,PETRX304W1,2025-12-05,36,PUT,30.4,0.5,2.17,0.2825,0.1243,-0.0057,4.2384,08/10/2025
PETR4,PETRL304W4,2025-12-26,49,CALL,30.4,1.0,1.35,0.6194,0.2079,-0.0172,5.1863,10/10/2025
PETR4,PETRX304W4,2025-12-26,49,PUT,30.4,0.78,2.43,0.3243,0.1039,-0.0051,5.1256,08/10/2025
PETR4,PETRK309,2025-11-21,26,CALL,30.47,0.91,2.32,0.484,0.1795,-0.0251,3.8195,14/10/2025
